index,image,score,lid
14,image_42_300.jpg,0.32260624,42
14,image_42_300.jpg,0.3146616,42
14,image_42_300.jpg,0.31328964,42
14,image_42_300.jpg,0.31086516,42
14,image_42_300.jpg,0.3051931,42
14,image_42_300.jpg,0.29551914,42
14,image_42_300.jpg,0.2816634,42
14,image_42_300.jpg,0.26320627,42
14,image_42_300.jpg,0.25610432,42
14,image_42_300.jpg,0.24425085,42
14,image_42_300.jpg,0.23083656,42
14,image_42_300.jpg,0.22306013,42
14,image_42_300.jpg,0.21561971,42
15,image_29_220.jpg,0.99775416,29
16,image_81_100.jpg,0.9960443,81
16,image_81_100.jpg,0.9797966,81
16,image_81_100.jpg,0.54754376,81
16,image_81_100.jpg,0.284118,81
16,image_81_100.jpg,0.23178475,81
16,image_81_100.jpg,0.21034515,81
17,image_10_200.jpg,0.9902311,10
17,image_10_200.jpg,0.98856235,10
17,image_10_200.jpg,0.97247136,10
17,image_10_200.jpg,0.95176095,10
17,image_10_200.jpg,0.9517331,10
17,image_10_200.jpg,0.83408713,10
17,image_10_200.jpg,0.2864197,10
17,image_10_200.jpg,0.26715124,10
18,image_13_280.jpg,0.26762995,13
18,image_13_280.jpg,0.21501365,13
19,image_71_260.jpg,0.55264866,71
19,image_71_260.jpg,0.5410574,71
19,image_71_260.jpg,0.40534702,71
19,image_71_260.jpg,0.32166687,71
19,image_71_260.jpg,0.305775,71
20,image_16_180.jpg,0.9992341,16
20,image_16_180.jpg,0.9805602,16
20,image_16_180.jpg,0.46840018,16
20,image_16_180.jpg,0.44649494,16
20,image_16_180.jpg,0.2636983,16
20,image_16_180.jpg,0.21899655,16
21,image_100_140.jpg,0.99934477,100
21,image_100_140.jpg,0.21914506,100
22,image_31_340.jpg,0.37254125,31
23,image_95_180.jpg,,95
24,image_97_140.jpg,0.84440845,97
24,image_97_140.jpg,0.7279903,97
24,image_97_140.jpg,0.70159477,97
25,image_2_40.jpg,,2
26,image_84_0.jpg,,84
27,image_24_280.jpg,0.9971921,24
27,image_24_280.jpg,0.9933575,24
28,image_10_340.jpg,,10
29,image_60_300.jpg,0.9980263,60
29,image_60_300.jpg,0.9965569,60
29,image_60_300.jpg,0.9844504,60
29,image_60_300.jpg,0.96360165,60
29,image_60_300.jpg,0.9382689,60
29,image_60_300.jpg,0.90881807,60
29,image_60_300.jpg,0.642557,60
29,image_60_300.jpg,0.50344044,60
29,image_60_300.jpg,0.31733623,60
29,image_60_300.jpg,0.2466834,60
29,image_60_300.jpg,0.20199668,60
30,image_100_320.jpg,,100
31,image_15_180.jpg,0.99595,15
31,image_15_180.jpg,0.99153286,15
31,image_15_180.jpg,0.9889803,15
31,image_15_180.jpg,0.97599137,15
31,image_15_180.jpg,0.9621188,15
31,image_15_180.jpg,0.9351655,15
31,image_15_180.jpg,0.5343485,15
31,image_15_180.jpg,0.5277115,15
31,image_15_180.jpg,0.28837687,15
31,image_15_180.jpg,0.2460716,15
31,image_15_180.jpg,0.22687814,15
32,image_16_280.jpg,0.99867886,16
32,image_16_280.jpg,0.97590214,16
32,image_16_280.jpg,0.9143485,16
32,image_16_280.jpg,0.8855001,16
32,image_16_280.jpg,0.8111013,16
32,image_16_280.jpg,0.74903,16
32,image_16_280.jpg,0.63091296,16
32,image_16_280.jpg,0.5729408,16
32,image_16_280.jpg,0.5518807,16
32,image_16_280.jpg,0.54911673,16
32,image_16_280.jpg,0.54785115,16
32,image_16_280.jpg,0.5001068,16
32,image_16_280.jpg,0.47679383,16
32,image_16_280.jpg,0.45741048,16
32,image_16_280.jpg,0.444792,16
32,image_16_280.jpg,0.38459808,16
32,image_16_280.jpg,0.37943664,16
32,image_16_280.jpg,0.3496833,16
32,image_16_280.jpg,0.23627734,16
32,image_16_280.jpg,0.2034632,16
33,image_51_60.jpg,0.97847146,51
33,image_51_60.jpg,0.94987994,51
33,image_51_60.jpg,0.9197147,51
33,image_51_60.jpg,0.91159564,51
33,image_51_60.jpg,0.8302828,51
33,image_51_60.jpg,0.78439623,51
33,image_51_60.jpg,0.73750466,51
33,image_51_60.jpg,0.7210365,51
33,image_51_60.jpg,0.65419745,51
33,image_51_60.jpg,0.6136779,51
33,image_51_60.jpg,0.5505643,51
33,image_51_60.jpg,0.53432155,51
33,image_51_60.jpg,0.48968753,51
33,image_51_60.jpg,0.3318263,51
33,image_51_60.jpg,0.33036333,51
33,image_51_60.jpg,0.29300433,51
33,image_51_60.jpg,0.25812814,51
33,image_51_60.jpg,0.24191315,51
33,image_51_60.jpg,0.20030282,51
34,image_47_140.jpg,0.9981117,47
34,image_47_140.jpg,0.9971666,47
34,image_47_140.jpg,0.99652356,47
34,image_47_140.jpg,0.99001443,47
34,image_47_140.jpg,0.9593906,47
34,image_47_140.jpg,0.88802356,47
34,image_47_140.jpg,0.88623697,47
34,image_47_140.jpg,0.76196074,47
34,image_47_140.jpg,0.7427549,47
34,image_47_140.jpg,0.50310457,47
34,image_47_140.jpg,0.4391979,47
34,image_47_140.jpg,0.2563758,47
34,image_47_140.jpg,0.23698516,47
35,image_71_80.jpg,0.97901446,71
35,image_71_80.jpg,0.9703133,71
35,image_71_80.jpg,0.8471927,71
35,image_71_80.jpg,0.64572173,71
36,image_72_140.jpg,0.6868406,72
